1,1,16,4,7,9,5,2,0,5,5
2,1,19,8,4,6,4,6,0,9,7
3,1,20,6,6,7,2,5,1,9,7
4,1,17,5,7,9,7,4,4,4,7
5,2,20,6,5,5,6,5,0,6,5
6,3,30,7,7,6,3,3,0,14,5
7,1,17,2,5,8,6,2,5,4,5
8,1,17,5,6,7,3,2,4,5,5
9,7,25,8,9,10,5,7,2,8,7
10,2,18,4,4,11,2,3,0,7,6
11,1,14,0,0,12,10,5,4,3,5
12,3,18,7,6,10,2,1,6,6,5
13,12,30,13,7,5,10,15,2,13,4
14,1,18,5,5,7,7,5,0,7,5
15,1,31,15,15,11,8,10,8,11,8
16,2,23,7,5,7,3,7,0,10,7
17,1,17,4,5,6,4,3,1,5,5
18,2,29,9,5,3,4,4,0,13,5
19,1,19,7,4,5,3,8,0,13,5
20,9,28,13,9,5,3,13,3,14,4
21,3,21,6,11,11,5,5,0,5,5
22,5,18,0,4,5,12,5,2,25,0
23,3,16,6,6,8,7,3,6,4,7
24,5,25,8,11,13,2,5,1,8,5
25,8,21,10,9,8,7,5,8,7,5
26,8,34,12,8,8,3,6,1,10,5
27,7,21,8,11,13,6,6,7,5,7
28,12,26,8,11,15,10,8,3,9,6
29,1,28,13,12,16,10,8,6,6,8
30,7,28,11,8,7,7,10,1,9,7
31,4,50,18,14,11,13,14,10,16,6
32,3,40,17,12,13,10,11,3,13,6
33,6,33,18,21,17,14,11,16,8,6
34,1,28,12,14,17,16,9,12,6,6
35,8,31,16,23,20,15,13,12,9,6
36,8,38,21,20,17,12,15,10,11,6
37,5,19,7,8,11,10,4,7,3,5
38,13,34,19,25,24,10,15,11,8,6
39,9,43,20,19,13,11,21,6,12,8
40,16,43,12,22,20,10,15,18,9,6
41,20,40,30,24,20,25,20,28,9,6
42,12,24,10,13,14,10,10,12,5,7
43,5,29,14,21,18,16,11,12,7,6
