1,70,40,60,60,55,20,30
2,80,60,35,40,35,20,20
3,85,40,50,45,20,25,25
4,60,40,50,55,50,15,35
5,75,50,50,40,40,20,25
6,80,60,40,20,45,25,15
7,50,50,30,40,60,15,55
8,65,40,40,50,30,20,40
9,80,50,40,50,30,10,25
10,75,30,40,70,50,25,20
11,85,5,5,70,80,30,70
12,55,60,50,40,20,10,60
13,70,45,40,20,30,35,35
14,80,45,50,40,45,30,35
15,65,30,50,25,30,15,35
16,90,30,30,30,50,40,30
17,60,40,50,60,50,15,30
18,85,50,35,40,30,30,25
19,90,60,45,35,30,50,25
20,90,40,30,30,35,55,30
21,75,30,50,70,45,15,25
22,120,0,90,90,100,30,15
23,45,40,50,40,65,15,50
24,85,55,40,45,35,25,15
25,70,45,40,35,25,25,45
26,70,65,20,60,35,20,15
27,70,35,60,50,30,20,50
28,60,25,45,60,60,25,25
29,75,30,35,50,45,20,25
30,80,50,50,45,20,30,20
31,50,40,30,25,40,20,35
32,85,50,30,40,40,20,20
33,50,30,20,40,40,30,35
34,60,40,40,40,30,20,30
35,70,30,50,50,30,10,15
36,80,35,30,40,20,30,25
37,55,50,55,60,45,15,50
38,65,15,40,35,20,30,30
39,60,45,25,40,30,25,15
40,60,40,30,35,15,20,40
41,0,0,0,0,0,0,0
42,75,50,40,45,45,25,30
43,60,25,45,55,40,10,20
